Symbol,Date,Open,High,Low,Close,Volume
A,2023-08-01,121.8,123.6,120.5,122.5,1655000
AA,2023-08-01,35.5,35.7,35.1,35.2,5217800
AAC,2023-08-01,10.6,10.6,10.6,10.6,56100
AACT,2023-08-01,10.2,10.2,10.2,10.2,21900
AAIC,2023-08-01,4.6,4.7,4.6,4.6,446800
AAIN,2023-08-01,23.7,23.7,23.6,23.6,1300
AAN,2023-08-01,14.3,14.9,13.2,14.4,702300
AAP,2023-08-01,73.9,74.2,72.9,73.7,1583400
AAT,2023-08-01,22.5,22.5,21.8,22.2,471900
AB,2023-08-01,32.4,33.1,32.3,33.1,254000
ABBV,2023-08-01,150.0,150.9,147.8,148.5,4409600
ABC,2023-08-01,187.5,189.3,186.9,189.1,1528800
ABEV,2023-08-01,3.1,3.1,3.0,3.1,16885500
ABG,2023-08-01,221.9,227.0,218.4,225.5,139800
ABM,2023-08-01,46.3,46.4,44.8,45.4,480000
ABR,2023-08-01,17.0,17.0,16.3,16.4,4055700
ABT,2023-08-01,110.7,111.2,110.3,110.5,3733700
AC,2023-08-01,37.0,37.5,37.0,37.1,6600
ACA,2023-08-01,77.2,77.4,76.6,76.8,401400
ACCO,2023-08-01,6.1,6.2,6.0,6.1,505100
ACEL,2023-08-01,11.3,11.3,11.2,11.2,190800
ACHR,2023-08-01,6.6,7.1,6.4,6.6,14109100
ACI,2023-08-01,21.7,21.9,21.7,21.9,3229000
ACM,2023-08-01,87.0,87.6,86.5,87.5,443200
ACN,2023-08-01,315.4,321.4,314.2,321.0,1913800
ACP,2023-08-01,6.9,6.9,6.8,6.9,231000
ACR,2023-08-01,8.8,9.1,8.8,8.9,10200
ACRE,2023-08-01,10.7,10.7,10.4,10.4,681200
ACV,2023-08-01,20.8,20.8,20.5,20.7,39400
ADC,2023-08-01,64.8,65.1,64.4,64.7,589700
ADCT,2023-08-01,1.5,1.5,1.4,1.5,479500
ADM,2023-08-01,84.4,85.2,83.9,85.0,2293200
ADNT,2023-08-01,42.1,42.9,41.9,42.8,1100700
ADT,2023-08-01,6.3,6.4,6.3,6.4,1542400
ADX,2023-08-01,17.6,17.7,17.6,17.7,118900
AEE,2023-08-01,85.5,85.9,84.5,84.6,1194300
AEFC,2023-08-01,21.1,21.1,20.9,21.1,27700
AEG,2023-08-01,5.4,5.4,5.3,5.3,657900
AEL,2023-08-01,53.7,53.7,53.3,53.5,611100
AEM,2023-08-01,51.5,51.7,50.6,50.6,2070000
