ValidTick,SignalDate,ScanDate,NScanDaysInterval,PriceAtSignal,LastClosingPrice,PriceEvolution,Company,Sector,Industry,D_plus4,priceD_plus4,priceD_plus4_evol
EAI,2020-12-16,2021-01-23,45,26.18,22.13,-15.47,,,,2020-12-20,26.32,0.5348
AZEK,2020-12-16,2021-01-23,45,38.44,31.2,-18.83,The AZEK Company Inc.,Industrials,Building Products & Equipment,2020-12-20,38.51,0.1821
KALA,2020-12-16,2021-01-23,45,7.57,14.12,86.53,"Kala Pharmaceuticals, Inc.",Healthcare,Biotechnology,2020-12-20,7.45,-1.5852
KDNY,2020-12-16,2021-01-23,45,19.2,40.28,109.79,"Chinook Therapeutics, Inc.",Healthcare,Biotechnology,2020-12-20,17.09,-10.9896
RMAX,2020-12-16,2021-01-23,45,37.42,19.45,-48.02,"RE/MAX Holdings, Inc.",Real Estate,Real Estate Services,2020-12-20,38.38,2.5655
TENX,2020-12-16,2021-01-23,45,1.05,0.29,-72.38,"Tenax Therapeutics, Inc.",Healthcare,Biotechnology,2020-12-20,1.03,-1.9048
AEFC,2020-12-16,2021-01-23,45,26.79,21.09,-21.28,,,,2020-12-20,26.81,0.0747
ADMA,2020-12-16,2021-01-23,45,2.06,4.05,96.6,"ADMA Biologics, Inc.",Healthcare,Biotechnology,2020-12-20,2.25,9.2233
AGRX,2020-12-16,2021-01-23,45,2.9,2.76,-4.83,"Agile Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,2020-12-20,2.93,1.0345
AMTI,2020-12-16,2021-01-23,45,32.14,0.3,-99.07,Applied Molecular Transport Inc.,Healthcare,Biotechnology,2020-12-20,33.89,5.4449
CYCN,2020-12-16,2021-01-23,45,3.15,3.33,5.71,"Cyclerion Therapeutics, Inc.",Healthcare,Biotechnology,2020-12-20,3.26,3.4921
