Date;Open;High;Low;Close;Volume
2023-08-04;4513.95996;4540.33984;4474.54980;4478.02979;4143310000
2023-08-03;4494.27002;4519.49023;4485.54004;4501.89014;4149120000
2023-08-02;4550.93018;4550.93018;4505.75000;4513.39014;4270710000
2023-08-01;4578.83008;4584.62012;4567.52979;4576.72998;4042370000
2023-07-31;4584.81982;4594.22021;4573.14014;4588.95996;4503600000
2023-07-28;4565.75000;4590.16016;4564.00977;4582.22998;3981010000
2023-07-27;4598.25977;4607.06982;4528.56006;4537.41016;4553210000
2023-07-26;4558.95996;4582.47021;4547.58008;4566.75000;3990290000
2023-07-25;4555.18994;4580.62012;4552.41992;4567.45996;3812470000
2023-07-24;4543.39014;4563.41016;4541.29004;4554.64014;3856250000
2023-07-21;4550.16016;4555.00000;4535.79004;4536.33984;3570190000
2023-07-20;4554.37988;4564.74023;4527.56006;4534.87012;3761770000
2023-07-19;4563.87012;4578.43018;4557.47998;4565.72021;4115670000
2023-07-18;4521.77979;4562.29980;4514.58984;4554.97998;4090010000
2023-07-17;4508.85986;4532.85010;4504.89990;4522.79004;3538240000
2023-07-14;4514.60986;4527.75977;4499.56006;4505.41992;3647450000
2023-07-13;4491.50000;4517.37988;4489.35986;4510.04004;3839530000
2023-07-12;4467.68994;4488.33984;4463.22998;4472.16016;3920290000
2023-07-11;4415.54980;4443.64014;4408.45996;4439.25977;3624220000
2023-07-10;4394.22998;4412.60010;4389.91992;4409.52979;3429600000
2023-07-07;4404.54004;4440.39014;4397.39990;4398.95020;3630480000
2023-07-06;4422.62012;4422.62012;4385.04980;4411.58984;3682020000
2023-07-05;4442.04004;4454.06006;4436.60986;4446.81982;3482620000
2023-07-03;4450.47998;4456.45996;4442.29004;4455.58984;2034280000
2023-06-30;4422.43994;4458.47998;4422.43994;4450.37988;3923450000
2023-06-29;4374.93994;4398.39014;4371.97021;4396.43994;3696660000
2023-06-28;4367.47998;4390.35010;4360.22021;4376.85986;3739330000
2023-06-27;4337.35986;4384.41992;4335.00000;4378.41016;3573500000
2023-06-26;4344.83984;4362.06006;4328.08008;4328.81982;3415030000
2023-06-23;4354.16992;4366.54980;4341.33984;4348.33008;6053620000
2023-06-22;4355.39990;4382.25000;4351.81982;4381.89014;3511000000
2023-06-21;4380.00977;4386.22021;4360.14014;4365.68994;3709330000
2023-06-20;4396.10986;4400.14990;4367.18994;4388.70996;4055790000
2023-06-16;4440.95020;4448.47021;4407.43994;4409.58984;6848600000
2023-06-15;4365.33008;4439.20020;4362.60010;4425.83984;4176690000
2023-06-14;4366.29004;4391.81982;4337.85010;4372.58984;4252110000
2023-06-13;4352.60986;4375.37012;4349.31006;4369.00977;4275400000
2023-06-12;4308.31982;4340.12988;4304.37012;4338.93018;3945670000
2023-06-09;4304.87988;4322.62012;4291.70020;4298.85986;3786510000
2023-06-08;4268.68994;4298.00977;4261.06982;4293.93018;3826740000
2023-06-07;4285.47021;4299.18994;4263.95996;4267.52002;4537800000
2023-06-06;4271.33984;4288.33008;4263.08984;4283.85010;3996560000
2023-06-05;4282.99023;4299.27979;4266.81982;4273.79004;3813290000
2023-06-02;4241.00977;4290.66992;4241.00977;4282.37012;4454200000
2023-06-01;4183.02979;4232.43018;4171.64014;4221.02002;4391860000
2023-05-31;4190.74023;4195.43994;4166.14990;4179.83008;5980670000
2023-05-30;4226.70996;4231.10010;4192.18018;4205.52002;4228510000
2023-05-26;4156.16016;4212.87012;4156.16016;4205.45020;3715460000
2023-05-25;4155.70996;4165.74023;4129.72998;4151.27979;4147760000
2023-05-24;4132.95996;4132.95996;4103.97998;4115.24023;3739160000
2023-05-23;4176.79980;4185.68018;4142.54004;4145.58008;4155320000
2023-05-22;4190.77979;4209.22021;4179.68018;4192.62988;3728520000
2023-05-19;4204.14990;4212.91016;4180.20020;4191.97998;4041900000
2023-05-18;4157.68018;4202.20020;4153.50000;4198.04980;3980500000
2023-05-17;4122.85010;4164.66992;4113.62012;4158.77002;4039080000
2023-05-16;4127.95020;4135.54004;4109.85986;4109.89990;3654200000
2023-05-15;4126.64990;4141.25000;4110.27002;4136.27979;3562170000
2023-05-12;4138.54004;4143.74023;4099.12012;4124.08008;3533740000
2023-05-11;4132.24023;4132.79980;4109.29004;4130.62012;3752900000
2023-05-10;4143.74023;4154.27979;4098.91992;4137.64014;4057160000
2023-05-09;4124.25000;4130.35010;4116.64990;4119.16992;3810140000
