"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
1,"A",30797.34,0.72%,7.30%,14.30%,15.20%,2.50,1.90,0.46,0.47,53.30%,15.30%,13.20%,8/18/2020 4:30:00 PM,99.60,-0.32%,977597
2,"AA",2547.31,,-4.60%,-15.40%,-9.60%,1.40,0.80,0.49,0.49,14.80%,-1.30%,-6.70%,7/15/2020 4:30:00 PM,13.44,-3.27%,6962729
3,"AAAU",,,,,,,,,,,,,,19.42,-0.46%,680632
4,"AACG",35.82,,-22.50%,-52.70%,-45.10%,0.50,0.50,0.00,0.02,35.00%,,-96.60%,8/12/2020 4:30:00 PM,1.09,-2.68%,6684
5,"AACQ",722.69,,,,,,,,,,,,,9.93,-0.45%,71238
6,"AADR",,0.02%,,,,,,,,,,,,56.02,-1.20%,1314
7,"AAL",7047.94,2.90%,-5.70%,240.80%,10.30%,0.80,0.70,,,56.90%,-10.50%,-10.40%,7/23/2020 8:30:00 AM,13.63,-1.23%,49401385
8,"AAMC",36.68,,-33.90%,7.90%,4.50%,,,,,,-67.90%,,,21.37,-5.02%,11092
9,"AAME",41.44,,-0.60%,-1.80%,1.10%,,,0.27,0.27,,-0.10%,-1.10%,,2.10,5.00%,6751
10,"AAN",3912.47,0.28%,-9.00%,-17.00%,2.10%,,,0.19,0.19,96.70%,-8.40%,-6.80%,7/29/2020 8:30:00 AM,56.75,-0.87%,377238
11,"AAOI",241.69,,-16.90%,-29.20%,-15.60%,1.80,1.00,0.36,0.56,21.60%,-25.90%,-39.70%,8/6/2020 4:30:00 PM,10.43,-0.10%,321738
12,"AAON",3003.05,0.66%,17.90%,23.20%,18.10%,2.90,1.80,0.02,0.02,29.00%,17.20%,13.90%,8/6/2020 4:30:00 PM,57.81,-0.05%,207695
13,"AAP",10620.68,0.65%,3.90%,12.70%,12.30%,1.40,0.50,0.33,0.00,43.80%,6.60%,4.70%,8/18/2020 8:30:00 AM,154.84,0.13%,541681
14,"AAPL",1943219.58,0.73%,17.70%,70.70%,26.90%,1.50,1.40,1.31,1.57,38.20%,24.50%,21.30%,7/30/2020 4:30:00 PM,110.34,-1.60%,173454846
15,"AAT",1613.06,3.80%,1.60%,3.50%,4.30%,,,1.08,1.08,65.30%,29.80%,12.10%,7/28/2020 4:30:00 PM,26.02,-1.21%,181111
16,"AAU",107.19,,-5.40%,-5.90%,,6.70,6.70,0.04,0.04,,,,,1.02,-2.86%,1442750
17,"AAWW",1603.79,,-4.40%,-12.80%,-5.00%,1.00,1.00,1.16,1.30,56.00%,-10.00%,-8.70%,8/6/2020 8:30:00 AM,61.11,-0.02%,499599
18,"AAXJ",,1.68%,,,,,,,,,,,,77.95,-0.57%,1541610
19,"AAXN",5338.63,,-3.50%,-5.30%,-1.40%,3.60,3.30,0.00,0.00,59.10%,-3.70%,-5.60%,8/6/2020 4:30:00 PM,82.83,-1.07%,288147
20,"AB",2653.85,8.75%,17.20%,17.30%,15.40%,,,0.00,0.00,,100.00%,90.00%,7/23/2020 8:30:00 AM,27.81,-0.32%,315382
21,"ABB",56806.04,3.18%,3.30%,12.20%,5.20%,1.20,1.00,0.51,1.04,31.60%,8.20%,5.80%,7/22/2020 8:30:00 AM,26.08,-0.15%,895784
22,"ABBV",158358.45,5.26%,7.10%,-303.40%,21.20%,0.90,0.70,5.58,5.94,73.30%,30.20%,19.10%,7/31/2020 8:30:00 AM,89.63,-0.17%,4537536
